Benchmark,Device,Device Name,Key,Word,BlockBits,NumInputs,FilterSizeMB,PatternBitsPerWord,Skipped,HBWPeak,L2HitRate,Samples,Samples,CPU Time (sec),Noise,GPU Time (sec),Noise,Elem/s (elem/sec)
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,256,1000000000,256,1,No,0.2623700536507295,0.4271097407475096,2,11,0.05232978127272727,0.00029494696176178656,0.05231632891568271,2.632877582911497e-05,19114491034.179443
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,256,1000000000,512,1,No,0.3192746874916423,0.34142836216300493,2,11,0.05259865063636364,3.219677369209484e-05,0.05258982745083896,3.1892028465000457e-05,19015084256.26232
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,256,1000000000,1024,1,No,0.34313085201745414,0.2895607546253257,2,11,0.05282999463636365,2.935790384490998e-05,0.05282102446122603,2.7422576736395775e-05,18931855453.39173
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,256,1000000000,2048,1,No,0.3532311628129179,0.26192945576446375,2,11,0.052980904545454545,0.0002947600293573616,0.05296692102605646,4.4886921710515105e-05,18879707950.327366
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,256,1000000000,1,20,No,0.0027921847035728507,0.7371799751791883,2,11,0.3791518413636364,0.0002524887765624904,0.3791412159312855,0.000252261689978488,2637539676.459858
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,256,1000000000,2,20,No,0.002793823549451932,0.7462496870483067,2,11,0.37914738663636366,0.00025286040182878334,0.3791362332430754,0.0002531306000047048,2637574339.56166
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,256,1000000000,4,20,No,0.002796098393796948,0.7513988794819331,2,11,0.3791479191818183,0.0002399194179425309,0.37913691850142056,0.0002395296360188627,2637569572.3661194
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,256,1000000000,8,20,No,0.002796699482708199,0.757009489730177,2,11,0.37912342118181824,1.3721926340213434e-05,0.37911224920099423,1.2844623306850252e-05,2637741202.2628403
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,256,1000000000,16,20,No,0.0027958206463088503,0.7605861450656645,2,11,0.3791250988181819,1.586288174258689e-05,0.3791144353693182,1.6192301740058724e-05,2637725991.693879
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,256,1000000000,32,20,No,0.0028156682217118593,0.7839581683392768,2,11,0.3791675352727273,0.0002527119037296222,0.3791569907448508,0.0002529691117714138,2637429941.712292
bloom_filter_add_u64,0,NVIDIA B200,U64,U64,256,1000000000,64,20,No,0.006945028642828131,0.5595139978224747,2,11,0.3805055491818182,0.0002592792037114686,0.38049419333718043,0.0002594403641902731,2628161000.9060917
